INFO 2025-02-02 21:30:06,429 autoreload Watching for file changes with StatReloader
DEBUG 2025-02-02 21:30:06,430 autoreload Waiting for apps ready_event.
DEBUG 2025-02-02 21:30:06,504 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2025-02-02 21:30:06,525 autoreload Watching dir C:\Proyectos\school_visits\venv\Lib\site-packages\rest_framework\templates with glob **/*.
DEBUG 2025-02-02 21:30:06,526 autoreload Watching dir C:\Proyectos\school_visits\templates with glob **/*.
DEBUG 2025-02-02 21:30:06,526 autoreload Watching dir C:\Proyectos\school_visits\visits\templates with glob **/*.
DEBUG 2025-02-02 21:30:06,527 autoreload Watching dir C:\Proyectos\school_visits\locale with glob **/*.mo.
DEBUG 2025-02-02 21:30:06,527 autoreload Watching dir C:\Proyectos\school_visits\venv\Lib\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG 2025-02-02 21:30:06,528 autoreload Watching dir C:\Proyectos\school_visits\visits\locale with glob **/*.mo.
DEBUG 2025-02-02 21:30:06,579 utils (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2025-02-02 21:30:06,584 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2025-02-02 21:30:06,655 autoreload File C:\Users\Alicia Claret\AppData\Local\Programs\Python\Python313\Lib\importlib\_abc.py first seen with mtime 1733255848.0
DEBUG 2025-02-02 21:30:06,655 autoreload File C:\Users\Alicia Claret\AppData\Local\Programs\Python\Python313\Lib\email\policy.py first seen with mtime 1733255848.0
DEBUG 2025-02-02 21:30:06,656 autoreload File C:\Proyectos\school_visits\venv\Lib\site-packages\django\contrib\admin\templatetags\__init__.py first seen with mtime 1737630441.7307837
DEBUG 2025-02-02 21:30:06,656 autoreload File C:\Users\Alicia Claret\AppData\Local\Programs\Python\Python313\Lib\socket.py first seen with mtime 1733255848.0
DEBUG 2025-02-02 21:30:06,657 autoreload File C:\Proyectos\school_visits\venv\Lib\site-packages\django\db\backends\sqlite3\creation.py first seen with mtime 1737630442.6972144
DEBUG 2025-02-02 21:30:06,657 autoreload File C:\Proyectos\school_visits\venv\Lib\site-packages\rest_framework\compat.py first seen with mtime 1737630452.2541351
DEBUG 2025-02-02 21:30:06,657 autoreload File C:\Users\Alicia Claret\AppData\Local\Programs\Python\Python313\Lib\email\_encoded_words.py first seen with mtime 1733255848.0
DEBUG 2025-02-02 21:30:06,658 autoreload File C:\Proyectos\school_visits\venv\Lib\site-packages\django\conf\locale\__init__.py first seen with mtime 1737630441.3719418
DEBUG 2025-02-02 21:30:06,658 autoreload File C:\Users\Alicia Claret\AppData\Local\Programs\Python\Python313\Lib\concurrent\futures\__init__.py first seen with mtime 1733255848.0
DEBUG 2025-02-02 21:30:06,659 autoreload File C:\Proyectos\school_visits\venv\Lib\site-packages\django\contrib\auth\views.py first seen with mtime 1737630441.8170497
DEBUG 2025-02-02 21:30:06,659 autoreload File C:\Users\Alicia Claret\AppData\Local\Programs\Python\Python313\Lib\copy.py first seen with mtime 1733255848.0
